,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_2.0_temp_0.5,2.0,0.5,44,0,4.2911983,4.292268,1.0,1.522176806599238,0.7497329743305842,0.26322930193692445,0.3627607626716296
1,alpha_2.0_temp_0.5,2.0,0.5,44,100,2.4420054,2.4599838,1.0,2.1354081492110475,0.9578281730016073,0.571689445177714,0.6294555954535802
2,alpha_2.0_temp_0.5,2.0,0.5,44,200,2.211535,2.2485015,1.0,2.04801061009765,0.9510160031914711,0.5197849553177755,0.5764880331556003
3,alpha_2.0_temp_0.5,2.0,0.5,44,300,1.975128,2.0608141,1.0,1.9983092910641889,0.9596655596494674,0.5022911894917489,0.5428173344433307
4,alpha_2.0_temp_0.5,2.0,0.5,44,400,1.7806777,1.907016,1.0,2.035751598026841,0.9612182918787001,0.5101346588035425,0.539804838647445
5,alpha_2.0_temp_0.5,2.0,0.5,44,500,1.6474502,1.8109362,1.0,2.042927104262201,0.958735217869282,0.50903129251798,0.5335074579715728
6,alpha_2.0_temp_0.5,2.0,0.5,44,600,1.5615692,1.749131,1.0,2.0616226024503415,0.9567577310005824,0.5170883948206902,0.5383310360312461
7,alpha_2.0_temp_0.5,2.0,0.5,44,700,1.4944237,1.6855655,1.0,2.070970305842095,0.9529743665059409,0.5249614251852036,0.5411798330446084
8,alpha_2.0_temp_0.5,2.0,0.5,44,800,1.4481342,1.647594,1.0,2.0810633798176794,0.9506690644224484,0.5268106378416221,0.5450461076498031
9,alpha_2.0_temp_0.5,2.0,0.5,44,900,1.4082385,1.6152425,1.0,2.0925152301815593,0.9460881846348445,0.528915881584088,0.5521887776553631
10,alpha_2.0_temp_0.5,2.0,0.5,44,1000,1.376959,1.5869093,1.0,2.0886508098002325,0.9445554409623146,0.535021847029527,0.5596007493436337
11,alpha_2.0_temp_0.5,2.0,0.5,44,1100,1.3540996,1.5702542,1.0,2.088218153041798,0.9390027911861737,0.5398161514500778,0.557924009780089
12,alpha_2.0_temp_0.5,2.0,0.5,44,1200,1.3312166,1.5651051,1.0,2.088694417051344,0.935493312517802,0.5417980957627296,0.5557359023193519
13,alpha_2.0_temp_0.5,2.0,0.5,44,1300,1.3112515,1.5495515,1.0,2.09815725219315,0.9335903742512066,0.5418958997825781,0.5655872822900614
14,alpha_2.0_temp_0.5,2.0,0.5,44,1400,1.2918638,1.5331295,1.0,2.089151730586407,0.9301218814055124,0.5439668626089891,0.5644736980299155
15,alpha_2.0_temp_0.5,2.0,0.5,44,1500,1.2767605,1.5233315,1.0,2.0973088183917707,0.9275266329248746,0.5515298949380715,0.5688949657678605
