,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.0_temp_0.5,1.0,0.5,42,0,4.257106,4.258018,1.0,0.9999999999999424,0.4065187568366528,0.0,0.18206160935511193
1,alpha_1.0_temp_0.5,1.0,0.5,42,100,2.4446774,2.4597433,1.0,0.9999999999999424,0.6602288254102072,0.0,0.3789739901622136
2,alpha_1.0_temp_0.5,1.0,0.5,42,200,2.2249248,2.2617266,1.0,0.9999999999999424,0.6483557149271171,0.0,0.3457017658700545
3,alpha_1.0_temp_0.5,1.0,0.5,42,300,1.957563,2.0438683,1.0,0.9999999999999424,0.6807294730246066,0.0,0.3259723522762457
4,alpha_1.0_temp_0.5,1.0,0.5,42,400,1.7466748,1.8897561,1.0,0.9999999999999424,0.6993866089284421,0.0,0.3179763690233231
5,alpha_1.0_temp_0.5,1.0,0.5,42,500,1.6100522,1.7909358,1.0,0.9999999999999424,0.7141791154344878,0.0,0.30371654330194
6,alpha_1.0_temp_0.5,1.0,0.5,42,600,1.5245736,1.7139832,1.0,0.9999999999999424,0.7190989653368791,0.0,0.30041840533415476
7,alpha_1.0_temp_0.5,1.0,0.5,42,700,1.4635429,1.6585774,1.0,0.9999999999999424,0.7211912978291511,0.0,0.2947137004981438
8,alpha_1.0_temp_0.5,1.0,0.5,42,800,1.4140779,1.6126868,1.0,0.9999999999999424,0.7253086987137795,0.0,0.3054869078795115
9,alpha_1.0_temp_0.5,1.0,0.5,42,900,1.3778243,1.5909901,1.0,0.9999999999999424,0.7245871858000754,0.0,0.29387571991980077
10,alpha_1.0_temp_0.5,1.0,0.5,42,1000,1.3497666,1.5697339,1.0,0.9999999999999424,0.7263355985581875,0.0,0.2960776913364728
11,alpha_1.0_temp_0.5,1.0,0.5,42,1100,1.3188415,1.5482501,1.0,0.9999999999999424,0.7295024853646757,0.0,0.2887135800719261
12,alpha_1.0_temp_0.5,1.0,0.5,42,1200,1.2950093,1.5229656,1.0,0.9999999999999424,0.7271119454304378,0.0,0.28813461650907995
13,alpha_1.0_temp_0.5,1.0,0.5,42,1300,1.273827,1.5165813,1.0,0.9999999999999424,0.730187017440796,0.0,0.2854854508787394
14,alpha_1.0_temp_0.5,1.0,0.5,42,1400,1.2576629,1.5081128,1.0,1.0000000203451498,0.7328018640726803,5.3828359038258595e-08,0.29866968159377577
15,alpha_1.0_temp_0.5,1.0,0.5,42,1500,1.2413976,1.499217,1.0,0.9999999999999424,0.7312095357875029,0.0,0.28645301796992617
16,alpha_1.0_temp_0.5,1.0,0.5,42,1600,1.2246971,1.4971637,1.0,1.0000000254314514,0.7318795237292846,6.728544879782324e-08,0.29059388432900113
17,alpha_1.0_temp_0.5,1.0,0.5,42,1700,1.2130936,1.4932121,1.0,0.9999999999999424,0.7308846142093341,0.0,0.2875250477294127
18,alpha_1.0_temp_0.5,1.0,0.5,42,1800,1.1959604,1.4870138,1.0,1.0000000101725461,0.7319742256750663,2.6914179519129297e-08,0.2909244452913602
19,alpha_1.0_temp_0.5,1.0,0.5,42,1900,1.1811966,1.4874988,1.0,1.0000000076293951,0.7313946744302907,2.0185634639346972e-08,0.28764032405614853
20,alpha_1.0_temp_0.5,1.0,0.5,42,2000,1.171132,1.484081,1.0,0.9999999999999424,0.7302085205266873,0.0,0.2796272181371848
21,alpha_1.0_temp_0.5,1.0,0.5,42,2100,1.1564529,1.4851722,1.0,1.000000005086244,0.7296859471748273,1.3457089759564649e-08,0.28960329836606985
